package,version,file_out,functions,title,internal,all_urls
autostats,0.4.2,visualize_model.html,visualize_model.multinom,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,visualize_model.html,visualize_model.xgb.Booster,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
autostats,0.4.2,visualize_model.html,visualize_model.default,visualize model,FALSE,https://harrison4192.github.io/autostats/|https://github.com/Harrison4192/autostats
baguette,1.1.0,bagger.html,bagger,Bagging functions,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,bagger.html,bagger.default,Bagging functions,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,bagger.html,bagger.data.frame,Bagging functions,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,bagger.html,bagger.matrix,Bagging functions,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,bagger.html,bagger.formula,Bagging functions,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,bagger.html,bagger.recipe,Bagging functions,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,baguette-package.html,baguette-package,baguette: Efficient Model Functions for Bagging,TRUE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,class_cost.html,class_cost,Cost parameter for minority class,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,control_bag.html,control_bag,Controlling the bagging process,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,nnet_imp_garson.html,nnet_imp_garson,Garson Importance Scores for neural Networks,TRUE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,predict.bagger.html,predict.bagger,Predictions from a bagged model,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,reexports.html,reexports,Objects exported from other packages,TRUE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,reexports.html,%>%,Objects exported from other packages,TRUE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,reexports.html,var_imp,Objects exported from other packages,TRUE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
baguette,1.1.0,var_imp.bagger.html,var_imp.bagger,Obtain variable importance scores,FALSE,https://baguette.tidymodels.org|https://github.com/tidymodels/baguette
bioLeak,0.3.8,LeakClasses.html,LeakSplits-class,S4 Classes for bioLeak Pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,LeakClasses.html,LeakClasses,S4 Classes for bioLeak Pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,LeakClasses.html,LeakFit-class,S4 Classes for bioLeak Pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,LeakClasses.html,LeakAudit-class,S4 Classes for bioLeak Pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,LeakClasses.html,LeakDeltaLSI-class,S4 Classes for bioLeak Pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,LeakClasses.html,"show,LeakDeltaLSI-method",S4 Classes for bioLeak Pipeline,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,as_leaksplits.html,as_leaksplits,Convert a splitGraph split_spec into bioLeak splits,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,as_rsample.html,as_rsample,Convert LeakSplits to an rsample resample set,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_batch_assoc.html,audit_batch_assoc,Batch / study association results from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_batch_assoc.html,"audit_batch_assoc,LeakAudit-method",Batch / study association results from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
