title,topic,package
Extract GOF measures from a statistical object (broom package).,<a href='https://r-forge.r-project.org/projects/r2mlwin//reference/glance.mlwinfitMCMC.html' target='_blank'><tt>glance.mlwinfitMCMC</tt></a>,R2MLwiN
Extract model coefficients from a mable,<a href='https://fabletools.tidyverts.org//reference/tidy.html' target='_blank'><tt>tidy.mdl_df</tt></a>,fabletools
Extract model coefficients from a mable,<a href='https://fabletools.tidyverts.org//reference/tidy.html' target='_blank'><tt>tidy.mdl_ts</tt></a>,fabletools
Extract Posterior Distributions for Models,<a href='https://tidyposterior.tidymodels.org/reference/tidy.perf_mod.html' target='_blank'><tt>tidy.perf_mod</tt></a>,tidyposterior
Extract tidy estimates from survinger objects,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>tidy.surv</tt></a>,survinger
Extract tidy estimates from survinger objects,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>tidy.surv_prevalence</tt></a>,survinger
Extract tidy estimates from survinger objects,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>tidy.surv_nowcast</tt></a>,survinger
Extract tidy estimates from survinger objects,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>tidy.surv_adjusted</tt></a>,survinger
Extract tidy estimates from survinger objects,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>tidy.surv_allocation</tt></a>,survinger
Extract tidy estimates from survinger objects,<a href='https://github.com/CuiweiG/survinger' target='_blank'><tt>tidy.surv_delay_fit</tt></a>,survinger
Feature aggregation step based on a defined list,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_aggregate_list</tt></a>,scimo
Feature aggregation step based on a hierarchical clustering,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_aggregate_hclust</tt></a>,scimo
Feature Hashing of Tokens,<a href='https://textrecipes.tidymodels.org//reference/step_texthash.html' target='_blank'><tt>tidy.step_texthash</tt></a>,textrecipes
Feature normalization step using total sum scaling,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_rownormalize_tss</tt></a>,scimo
Feature selection step using background level,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_select_background</tt></a>,scimo
Feature selection step using Kruskal test,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_select_kruskal</tt></a>,scimo
Feature selection step using the coefficient of variation,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_select_cv</tt></a>,scimo
Feature selection step using Wilcoxon test,<a href='https://github.com/abichat/scimo' target='_blank'><tt>tidy.step_select_wilcoxon</tt></a>,scimo
Filter Tokens Based on Term Frequency,<a href='https://textrecipes.tidymodels.org//reference/step_tokenfilter.html' target='_blank'><tt>tidy.step_tokenfilter</tt></a>,textrecipes
Filtering of Stop Words for Tokens Variables,<a href='https://textrecipes.tidymodels.org//reference/step_stopwords.html' target='_blank'><tt>tidy.step_stopwords</tt></a>,textrecipes
Fit Empirical Coefficients,<a href='https://paleolimbot.github.io/edwards97//reference/fit_edwards_optim.html' target='_blank'><tt>tidy.edwards_fit_base</tt></a>,edwards97
Fit Empirical Coefficients,<a href='https://paleolimbot.github.io/edwards97//reference/fit_edwards_optim.html' target='_blank'><tt>glance.edwards_fit_base</tt></a>,edwards97
Form a tidy data frame from the estimates from a disbayes fit,<a href='https://chjackson.github.io/disbayes//reference/tidy.disbayes.html' target='_blank'><tt>tidy.disbayes</tt></a>,disbayes
Form a tidy data frame from the estimates from a disbayes fit,<a href='https://chjackson.github.io/disbayes//reference/tidy.disbayes.html' target='_blank'><tt>tidy.disbayes_hier</tt></a>,disbayes
