title,func,topic,url,package
difftimearithmic Transformation,step_difftime,<a href='https://emilhvitfeldt.github.io/extrasteps/reference/step_difftime.html' target='_blank'><tt>step_difftime</tt></a>,https://emilhvitfeldt.github.io/extrasteps/reference/step_difftime.html,extrasteps
Discretize Numeric Variables,step_discretize,<a href='https://recipes.tidymodels.org/reference/step_discretize.html' target='_blank'><tt>step_discretize</tt></a>,https://recipes.tidymodels.org/reference/step_discretize.html,recipes
Discretize numeric variables with CART,step_discretize_cart,<a href='https://embed.tidymodels.org/reference/step_discretize_cart.html' target='_blank'><tt>step_discretize_cart</tt></a>,https://embed.tidymodels.org/reference/step_discretize_cart.html,embed
Discretize numeric variables with XgBoost,step_discretize_xgb,<a href='https://embed.tidymodels.org/reference/step_discretize_xgb.html' target='_blank'><tt>step_discretize_xgb</tt></a>,https://embed.tidymodels.org/reference/step_discretize_xgb.html,embed
Distance between two locations,step_geodist,<a href='https://recipes.tidymodels.org/reference/step_geodist.html' target='_blank'><tt>step_geodist</tt></a>,https://recipes.tidymodels.org/reference/step_geodist.html,recipes
Distances to class centroids,step_classdist,<a href='https://recipes.tidymodels.org/reference/step_classdist.html' target='_blank'><tt>step_classdist</tt></a>,https://recipes.tidymodels.org/reference/step_classdist.html,recipes
Down-Sample a Data Set Based on a Factor Variable,step_downsample,<a href='https://themis.tidymodels.org/reference/step_downsample.html' target='_blank'><tt>step_downsample</tt></a>,https://themis.tidymodels.org/reference/step_downsample.html,themis
Edited Nearest Neighbors,step_enn,<a href='https://themis.tidymodels.org/reference/step_enn.html' target='_blank'><tt>step_enn</tt></a>,https://themis.tidymodels.org/reference/step_enn.html,themis
Encoding Factors into Multiple Columns,step_embed,<a href='https://embed.tidymodels.org/reference/step_embed.html' target='_blank'><tt>step_embed</tt></a>,https://embed.tidymodels.org/reference/step_embed.html,embed
Euler Characteristic Curve Vectorization of Persistent Homology,step_vpd_euler_characteristic_curve,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_vpd_euler_characteristic_curve</tt></a>,https://github.com/tdaverse/tdarec,tdarec
Extract patterns from nominal data,step_dummy_extract,<a href='https://recipes.tidymodels.org/reference/step_dummy_extract.html' target='_blank'><tt>step_dummy_extract</tt></a>,https://recipes.tidymodels.org/reference/step_dummy_extract.html,recipes
Feature aggregation step based on a defined list,step_aggregate_list,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_aggregate_list</tt></a>,https://github.com/abichat/scimo,scimo
Feature aggregation step based on a hierarchical clustering,step_aggregate_hclust,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_aggregate_hclust</tt></a>,https://github.com/abichat/scimo,scimo
Feature Hashing of Tokens,step_texthash,<a href='https://textrecipes.tidymodels.org/reference/step_texthash.html' target='_blank'><tt>step_texthash</tt></a>,https://textrecipes.tidymodels.org/reference/step_texthash.html,textrecipes
Feature normalization step using total sum scaling,step_rownormalize_tss,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_rownormalize_tss</tt></a>,https://github.com/abichat/scimo,scimo
Feature selection step using background level,step_select_background,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_select_background</tt></a>,https://github.com/abichat/scimo,scimo
Feature selection step using Kruskal test,step_select_kruskal,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_select_kruskal</tt></a>,https://github.com/abichat/scimo,scimo
Feature selection step using the coefficient of variation,step_select_cv,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_select_cv</tt></a>,https://github.com/abichat/scimo,scimo
Feature selection step using Wilcoxon test,step_select_wilcoxon,<a href='https://github.com/abichat/scimo' target='_blank'><tt>step_select_wilcoxon</tt></a>,https://github.com/abichat/scimo,scimo
Filter rows by position using dplyr,step_slice,<a href='https://recipes.tidymodels.org/reference/step_slice.html' target='_blank'><tt>step_slice</tt></a>,https://recipes.tidymodels.org/reference/step_slice.html,recipes
Filter rows using dplyr,step_filter,<a href='https://recipes.tidymodels.org/reference/step_filter.html' target='_blank'><tt>step_filter</tt></a>,https://recipes.tidymodels.org/reference/step_filter.html,recipes
Filter Tokens Based on Term Frequency,step_tokenfilter,<a href='https://textrecipes.tidymodels.org/reference/step_tokenfilter.html' target='_blank'><tt>step_tokenfilter</tt></a>,https://textrecipes.tidymodels.org/reference/step_tokenfilter.html,textrecipes
Filtering of Stop Words for Tokens Variables,step_stopwords,<a href='https://textrecipes.tidymodels.org/reference/step_stopwords.html' target='_blank'><tt>step_stopwords</tt></a>,https://textrecipes.tidymodels.org/reference/step_stopwords.html,textrecipes
Fourier Features for Modeling Seasonality,step_fourier,<a href='https://business-science.github.io/timetk/reference/step_fourier.html' target='_blank'><tt>step_fourier</tt></a>,https://business-science.github.io/timetk/reference/step_fourier.html,timetk
General variable filter,step_rm,<a href='https://recipes.tidymodels.org/reference/step_rm.html' target='_blank'><tt>step_rm</tt></a>,https://recipes.tidymodels.org/reference/step_rm.html,recipes
Generalized bernstein polynomial basis,step_poly_bernstein,<a href='https://recipes.tidymodels.org/reference/step_poly_bernstein.html' target='_blank'><tt>step_poly_bernstein</tt></a>,https://recipes.tidymodels.org/reference/step_poly_bernstein.html,recipes
